Link,Subject,University,Location,Beginning,Tuition Fees per Semester,Language,Duration,Application Deadline
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4660/,Human-Computer Interaction (HCI),Bauhaus-Universität Weimar •,Weimar,"Winter semester, Summer semester",none,English,4 semesters,Applicants who graduated outside the European Union:15 July for the following winter semester15 January for the following summer semesterApplicants who graduated within the EU:30 September for the following winter semester31 March for the following summer semester
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4591/,Computer Science,University of Siegen •,Siegen,Winter semester,none,English,4 semesters,"https://www.master-cs.eti.uni-siegen.de/en/applicationNon-EU applicants are advised to apply as early as possible, allowing for some delay to complete the visa process."
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3727/,"Computational Engineering (CE), MSc",FAU Erlangen-Nürnberg •,Erlangen,Winter semester,none,English,4 semesters,"Non-EUapplicants:15 AprilEUapplicants:15 Julyfor the following winter semester, respectively"
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9061/,Computational Methods in Engineering (CoME),Otto von Guericke University Magdeburg •,Magdeburg,Winter semester,none,English,4 semesters,Non-EU applicants: 15 JulyEU applicants: 15 September
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5202/,Computational Modelling and Simulation,Dresden University of Technology •,Dresden,Winter semester,none,English,4 semesters,For the following winter semester:(Prospective) degree holders from non-German institutions of higher education:1 April to 31 May:non-EU nationals1 April to 15 July:German or EU nationalsAll other applicants:1 June to 15 July:(prospective) graduates from German institutions of higher education
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3885/,International Master's Programme in Computational Neuroscience,Technische Universität Berlin •,Berlin,Winter semester,none,English,4 semesters,15 March for the following winter semester
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5351/,Master of Science in Data Science,Trier University •,Trier,"Winter semester, Summer semester",none,English,4 semesters,Non-EU citizens:15 January 2025 for the summer semester 2025 (admission also valid for the winter semester 2025/26)31 May 2025 for the winter semester 2025/26 (admission also valid for the summer semester 2026)EU citizens:15 January 2025 for the summer semester 2025 (admission also valid for the winter semester 2025/26)15 September 2025 for the winter semester 2025/26 (admission also valid for the summer semester 2026)German citizens and applicants with a BA or MA degree from a German university:15 March 2025 for the summer semester 2025 (admission also valid for the winter semester 2025/26)15 September 2025 for the winter semester 2025/26 (admission also valid for the summer semester 2026)
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9040/,Data Science,Hamburg University of Technology •,Hamburg,Winter semester,none,English,4 semesters,"International applicants from outside EU:If you have a non-EU nationality and do not currently have a right of residence in an EU country, your application period is from 1 December to 1 March. We conduct an online application process. Detailed information on the application and admission procedures can be foundhere.Applicants within EU (incl. Germany):If you have an EU nationality or you have a resident permit for an EU country, your application period is from 1 June to 15 July. We conduct an online application process. Detailed information on the application and admission procedures can be foundhere."
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8951/,Master of Science in Data Science,TU Dortmund University •,Dortmund,"Winter semester, Summer semester",none,English,4 semesters,"For international applicants, the application periods are:for starting in the summer semester from approx. 18 No­vem­ber to 15 January (cut-off period)for starting in the winter semester from approx. 1 January to 15 June (cut-off period)Note that the starting dates are approximate dates, due to technical reasons the online portal may open a few days later.Applicants who completed their Bachelor's degree within Germany do not count as international applicants and, hence, other deadlines apply.For deadlines of the IMPACT Programme, please visit:https://impact-program.tu-dortmund.de/program/the-program-at-a-glance/"
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6296/,Data Science and Artificial Intelligence (MSc),Saarland University •,Saarbrücken,"Winter semester, Summer semester",none,English,4 semesters,International applications are very welcome. Application deadlines are:For any winter semester starting in October: 15 MayFor any summer semester starting in April: 15 November
