Link,Subject,University,Location,Beginning,Tuition Fees per Semester,Language,Duration
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4486/,Master of Science in Cognitive Science,RPTU University of Kaiserslautern-Landau •,Kaiserslautern,Winter semester,none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3629/,Computer Science (Master of Science),RPTU University of Kaiserslautern-Landau •,Kaiserslautern,"Winter semester, Summer semester",none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7660/,Data Science,Technische Universität Braunschweig •,Braunschweig,"Winter semester, Summer semester",none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7025/,Cognitive Science,Technical University of Darmstadt •,Darmstadt,Winter semester,none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7636/,Data Science,RWTH Aachen University •,Aachen,"Winter semester, Summer semester",none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4556/,Management & Data Science (MSc),Leuphana University Lüneburg •,Lüneburg,Winter semester,none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4350/,Master of Science in Intelligent Adaptive Systems (IAS),Universität Hamburg •,Hamburg,Winter semester,none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6937/,Artificial Intelligence and Data Science,Heinrich Heine University Düsseldorf •,Düsseldorf,Winter semester,none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4001/,Master of Science in Software Engineering,University of Augsburg •,Augsburg,Winter semester,none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5625/,Master of Science in Computer Engineering,Paderborn University •,Paderborn,"Winter semester, Summer semester",none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7641/,Applied Data Science (MSc),University of Göttingen •,Göttingen,"Winter semester, Summer semester",none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9046/,Data Science (MSc),Philipps-Universität Marburg •,Marburg,"Winter semester, Summer semester",none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4010/,Master of Science in Information Systems,University of Münster •,Münster,"Winter semester, Summer semester",none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4427/,Digital Engineering (DigiEng),Otto von Guericke University Magdeburg •,Magdeburg,"Winter semester, Summer semester",none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4238/,Computer Science for Digital Media,Bauhaus-Universität Weimar •,Weimar,"Winter semester, Summer semester",none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7784/,Master of Science in Artificial Intelligence Engineering,University of Passau •,Passau,"Winter semester, Summer semester",none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4800/,Master of Science in Management and Digital Technologies,Ludwig-Maximilians-Universität München •,München,Winter semester,none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4258/,Master of Science in Artificial Intelligence and Machine Learning,Technical University of Darmstadt •,Darmstadt,"Winter semester, Summer semester",none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8352/,Computational Sciences,University of Cologne •,Köln,Winter semester,none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8322/,Artificial Intelligence,Brandenburg University of Technology Cottbus-Senftenberg •,Cottbus,"Winter semester, Summer semester",none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8265/,Digital Engineering,Bauhaus-Universität Weimar •,Weimar,"Winter semester, Summer semester",none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6146/,Information and Communication Technology MSc,FAU Erlangen-Nürnberg •,Erlangen,"Winter semester, Summer semester",none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3747/,Information and Communication Systems,Hamburg University of Technology •,Hamburg,Winter semester,none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8417/,Master of Science in Software Engineering (MSc),University of Hildesheim •,Hildesheim,"Winter semester, Summer semester",none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7026/,International Master of Science in Quantum Engineering,Julius-Maximilians-Universität Würzburg •,Würzburg,"Winter semester, Summer semester",none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4429/,Master's Degree in Data & Knowledge Engineering (MDKE),Otto von Guericke University Magdeburg •,Magdeburg,"Winter semester, Summer semester",none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6910/,Computational Science,University of Regensburg •,Regensburg,"Winter semester, Summer semester",none,English,4 semesters
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3876/,Master's in Media and Communication Science,Technische Universität Ilmenau •,Ilmenau,Winter semester,none,English,4 semesters
